ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,SalesOrderNumber,Sales
381,20210101,20210113,20210108,16942,SO46700,1000
375,20210101,20210113,20210108,15114,SO46701,2182
369,20210101,20210113,20210108,15116,SO46702,2443
337,20210101,20210113,20210108,20576,SO46703,783
370,20210101,20210113,20210108,13059,SO46704,2443
370,20210101,20210113,20210108,13085,SO46705,2443
352,20210101,20210113,20210108,20186,SO46706,2071
337,20210101,20210113,20210108,15199,SO46707,783
377,20210101,20210113,20210108,21200,SO46708,2182
387,20210102,20210114,20210109,19172,SO46709,1000
356,20210102,20210114,20210109,11484,SO46710,2071
369,20210102,20210114,20210109,13592,SO46711,2443
373,20210102,20210114,20210109,13779,SO46712,2182
371,20210102,20210114,20210109,24778,SO46713,2182
368,20210102,20210114,20210109,13093,SO46714,2443
375,20210102,20210114,20210109,24976,SO46715,2182
375,20210102,20210114,20210109,25046,SO46716,2182
368,20210102,20210114,20210109,25048,SO46717,2443
360,20210102,20210114,20210109,12570,SO46718,2049
362,20210103,20210115,20210110,11604,SO46719,2049
371,20210103,20210115,20210110,13667,SO46720,2182
370,20210103,20210115,20210110,16046,SO46721,2443
385,20210103,20210115,20210110,17095,SO46722,1000
368,20210103,20210115,20210110,12918,SO46723,2443
368,20210103,20210115,20210110,28663,SO46724,2443
369,20210103,20210115,20210110,21191,SO46725,2443
373,20210103,20210115,20210110,20999,SO46726,2182
370,20210103,20210115,20210110,21002,SO46727,2443
358,20210103,20210115,20210110,12354,SO46728,2049
321,20210103,20210115,20210110,26019,SO46729,783
379,20210104,20210116,20210111,15100,SO46730,2182
371,20210104,20210116,20210111,15101,SO46731,2182
385,20210104,20210116,20210111,13992,SO46732,1000
375,20210104,20210116,20210111,24781,SO46733,2182
375,20210104,20210116,20210111,13060,SO46734,2182
371,20210104,20210116,20210111,13226,SO46735,2182
360,20210104,20210116,20210111,12341,SO46736,2049
354,20210104,20210116,20210111,12346,SO46737,2071
362,20210104,20210116,20210111,12576,SO46738,2049
373,20210105,20210117,20210112,15699,SO46739,2182
379,20210105,20210117,20210112,12980,SO46740,2182
370,20210105,20210117,20210112,28766,SO46741,2443
358,20210105,20210117,20210112,20206,SO46742,2049
373,20210105,20210117,20210112,21183,SO46743,2182
370,20210105,20210117,20210112,21199,SO46744,2443
369,20210106,20210118,20210113,13056,SO46745,2443
368,20210106,20210118,20210113,13057,SO46746,2443
360,20210106,20210118,20210113,26127,SO46747,2049
360,20210106,20210118,20210113,26252,SO46748,2049
354,20210106,20210118,20210113,12350,SO46749,2071
377,20210107,20210119,20210114,16054,SO46750,2182
377,20210107,20210119,20210114,12934,SO46751,2182
343,20210107,20210119,20210114,19931,SO46752,783
379,20210107,20210119,20210114,21215,SO46753,2182
321,20210107,20210119,20210114,25958,SO46754,783
343,20210107,20210119,20210114,26023,SO46755,783
383,20210107,20210119,20210114,13993,SO46756,1000
354,20210108,20210120,20210115,26174,SO46757,2071
387,20210108,20210120,20210115,18130,SO46758,1000
373,20210108,20210120,20210115,16033,SO46759,2182
387,20210108,20210120,20210115,13986,SO46760,1000
325,20210108,20210120,20210115,19924,SO46761,783
368,20210108,20210120,20210115,13063,SO46762,2443
375,20210108,20210120,20210115,13202,SO46763,2182
360,20210108,20210120,20210115,26238,SO46764,2049
333,20210108,20210120,20210115,15191,SO46765,783
369,20210108,20210120,20210115,21216,SO46766,2443
362,20210108,20210120,20210115,12573,SO46767,2049
339,20210108,20210120,20210115,26020,SO46768,783
377,20210109,20210121,20210116,15702,SO46769,2182
370,20210109,20210121,20210116,15357,SO46770,2443
377,20210109,20210121,20210116,13068,SO46771,2182
375,20210109,20210121,20210116,13161,SO46772,2182
371,20210109,20210121,20210116,13173,SO46773,2182
375,20210109,20210121,20210116,13225,SO46774,2182
352,20210109,20210121,20210116,26249,SO46775,2071
360,20210109,20210121,20210116,12356,SO46776,2049
356,20210110,20210122,20210117,11568,SO46777,2071
352,20210110,20210122,20210117,11610,SO46778,2071
377,20210110,20210122,20210117,15929,SO46779,2182
379,20210110,20210122,20210117,12942,SO46780,2182
379,20210110,20210122,20210117,12949,SO46781,2182
371,20210110,20210122,20210117,12975,SO46782,2182
337,20210110,20210122,20210117,19069,SO46783,783
375,20210110,20210122,20210117,13178,SO46784,2182
373,20210110,20210122,20210117,13190,SO46785,2182
354,20210110,20210122,20210117,26201,SO46786,2071
333,20210110,20210122,20210117,15195,SO46787,783
358,20210110,20210122,20210117,12342,SO46788,2049
358,20210111,20210123,20210118,28506,SO46789,2049
379,20210111,20210123,20210118,12930,SO46790,2182
369,20210111,20210123,20210118,13016,SO46791,2443
373,20210111,20210123,20210118,13083,SO46792,2182
375,20210111,20210123,20210118,13214,SO46793,2182
373,20210111,20210123,20210118,24977,SO46794,2182
362,20210111,20210123,20210118,26234,SO46795,2049
360,20210111,20210123,20210118,26247,SO46796,2049
371,20210111,20210123,20210118,21197,SO46797,2182
368,20210111,20210123,20210118,21201,SO46798,2443
371,20210112,20210124,20210119,13662,SO46799,2182
370,20210112,20210124,20210119,13019,SO46800,2443
368,20210112,20210124,20210119,25094,SO46801,2443
337,20210112,20210124,20210119,15188,SO46802,783
379,20210113,20210125,20210120,13595,SO46803,2182
323,20210113,20210125,20210120,19052,SO46804,783
373,20210113,20210125,20210120,13055,SO46805,2182
370,20210113,20210125,20210120,21195,SO46806,2443
354,20210113,20210125,20210120,12339,SO46807,2071
360,20210113,20210125,20210120,12347,SO46808,2049
371,20210114,20210126,20210121,13766,SO46809,2182
370,20210114,20210126,20210121,15622,SO46810,2443
369,20210114,20210126,20210121,12941,SO46811,2443
371,20210114,20210126,20210121,13069,SO46812,2182
379,20210114,20210126,20210121,13152,SO46813,2182
371,20210114,20210126,20210121,13165,SO46814,2182
375,20210114,20210126,20210121,25093,SO46815,2182
370,20210114,20210126,20210121,13230,SO46816,2443
356,20210114,20210126,20210121,26121,SO46817,2071
369,20210114,20210126,20210121,21211,SO46818,2443
368,20210114,20210126,20210121,21001,SO46819,2443
352,20210115,20210127,20210122,28510,SO46820,2071
377,20210115,20210127,20210122,24824,SO46821,2182
325,20210115,20210127,20210122,15155,SO46822,783
323,20210115,20210127,20210122,15193,SO46823,783
385,20210115,20210127,20210122,24608,SO46824,1000
354,20210115,20210127,20210122,12574,SO46825,2071
360,20210115,20210127,20210122,12575,SO46826,2049
373,20210116,20210128,20210123,13799,SO46827,2182
385,20210116,20210128,20210123,13990,SO46828,1000
369,20210116,20210128,20210123,24786,SO46829,2443
337,20210116,20210128,20210123,19910,SO46830,783
369,20210116,20210128,20210123,13066,SO46831,2443
352,20210116,20210128,20210123,20188,SO46832,2071
354,20210116,20210128,20210123,12360,SO46833,2071
379,20210116,20210128,20210123,12923,SO46834,2182
371,20210117,20210129,20210124,13768,SO46835,2182
377,20210117,20210129,20210124,13769,SO46836,2182
381,20210117,20210129,20210124,14003,SO46837,1000
375,20210117,20210129,20210124,12922,SO46838,2182
375,20210117,20210129,20210124,24817,SO46839,2182
369,20210117,20210129,20210124,13058,SO46840,2443
371,20210117,20210129,20210124,13174,SO46841,2182
321,20210117,20210129,20210124,15166,SO46842,783
375,20210117,20210129,20210124,21168,SO46843,2182
358,20210117,20210129,20210124,12343,SO46844,2049
358,20210118,20210130,20210125,11603,SO46845,2049
373,20210118,20210130,20210125,13575,SO46846,2182
371,20210118,20210130,20210125,13793,SO46847,2182
371,20210118,20210130,20210125,16201,SO46848,2182
370,20210118,20210130,20210125,24960,SO46849,2443
370,20210118,20210130,20210125,13221,SO46850,2443
360,20210118,20210130,20210125,20209,SO46851,2049
333,20210118,20210130,20210125,15194,SO46852,783
368,20210118,20210130,20210125,21192,SO46853,2443
375,20210118,20210130,20210125,20997,SO46854,2182
379,20210119,20210131,20210126,15117,SO46855,2182
370,20210119,20210131,20210126,12935,SO46856,2443
371,20210119,20210131,20210126,13064,SO46857,2182
370,20210119,20210131,20210126,13067,SO46858,2443
370,20210119,20210131,20210126,13205,SO46859,2443
371,20210119,20210131,20210126,21180,SO46860,2182
377,20210119,20210131,20210126,21214,SO46861,2182
362,20210120,20210201,20210127,11550,SO46862,2049
362,20210120,20210201,20210127,11575,SO46863,2049
373,20210120,20210201,20210127,16045,SO46864,2182
375,20210120,20210201,20210127,15456,SO46865,2182
369,20210120,20210201,20210127,12981,SO46866,2443
377,20210120,20210201,20210127,13029,SO46867,2182
369,20210120,20210201,20210127,13189,SO46868,2443
379,20210121,20210202,20210128,13577,SO46869,2182
368,20210121,20210202,20210128,13605,SO46870,2443
370,20210121,20210202,20210128,13800,SO46871,2443
385,20210121,20210202,20210128,19186,SO46872,1000
377,20210121,20210202,20210128,21167,SO46873,2182
381,20210121,20210202,20210128,24606,SO46874,1000
362,20210122,20210203,20210129,11470,SO46875,2049
375,20210122,20210203,20210129,15084,SO46876,2182
370,20210122,20210203,20210129,12926,SO46877,2443
369,20210122,20210203,20210129,25061,SO46878,2443
379,20210122,20210203,20210129,13224,SO46879,2182
335,20210122,20210203,20210129,15167,SO46880,783
354,20210122,20210203,20210129,12572,SO46881,2071
343,20210122,20210203,20210129,25960,SO46882,783
352,20210122,20210203,20210129,26241,SO46883,2071
368,20210123,20210204,20210130,13565,SO46884,2443
373,20210123,20210204,20210130,15933,SO46885,2182
377,20210123,20210204,20210130,28669,SO46886,2182
362,20210123,20210204,20210130,12340,SO46887,2049
325,20210123,20210204,20210130,26021,SO46888,783
383,20210124,20210205,20210131,19173,SO46889,1000
368,20210124,20210205,20210131,12921,SO46890,2443
325,20210124,20210205,20210131,20592,SO46891,783
370,20210124,20210205,20210131,13086,SO46892,2443
369,20210124,20210205,20210131,28659,SO46893,2443
356,20210124,20210205,20210131,26120,SO46894,2071
354,20210124,20210205,20210131,26183,SO46895,2071
333,20210124,20210205,20210131,15189,SO46896,783
368,20210124,20210205,20210131,21179,SO46897,2443
369,20210124,20210205,20210131,21205,SO46898,2443
381,20210125,20210206,20210201,13999,SO46899,1000
375,20210125,20210206,20210201,21194,SO46900,2182
375,20210125,20210206,20210201,21203,SO46901,2182
375,20210125,20210206,20210201,21000,SO46902,2182
354,20210125,20210206,20210201,12353,SO46903,2071
387,20210126,20210207,20210202,17080,SO46904,1000
375,20210126,20210207,20210202,16053,SO46905,2182
368,20210126,20210207,20210202,12950,SO46906,2443
368,20210126,20210207,20210202,13087,SO46907,2443
370,20210126,20210207,20210202,21189,SO46908,2443
379,20210126,20210207,20210202,20998,SO46909,2182
331,20210127,20210208,20210203,20710,SO46910,783
377,20210127,20210208,20210203,24832,SO46911,2182
377,20210127,20210208,20210203,13177,SO46912,2182
375,20210127,20210208,20210203,13212,SO46913,2182
356,20210127,20210208,20210203,26245,SO46914,2071
362,20210127,20210208,20210203,26276,SO46915,2049
329,20210127,20210208,20210203,15196,SO46916,783
371,20210127,20210208,20210203,21202,SO46917,2182
343,20210127,20210208,20210203,26022,SO46918,783
362,20210127,20210208,20210203,11481,SO46919,2049
362,20210128,20210209,20210204,11609,SO46920,2049
371,20210128,20210209,20210204,15454,SO46921,2182
368,20210128,20210209,20210204,13088,SO46922,2443
369,20210128,20210209,20210204,13176,SO46923,2443
375,20210128,20210209,20210204,13203,SO46924,2182
373,20210128,20210209,20210204,21165,SO46925,2182
377,20210128,20210209,20210204,21169,SO46926,2182
362,20210128,20210209,20210204,12348,SO46927,2049
356,20210128,20210209,20210204,12358,SO46928,2071
370,20210129,20210210,20210205,13246,SO47068,2443
383,20210129,20210210,20210205,14017,SO47069,1000
387,20210129,20210210,20210205,14025,SO47070,1000
369,20210129,20210210,20210205,15667,SO47071,2443
341,20210129,20210210,20210205,20062,SO47072,783
369,20210129,20210210,20210205,25287,SO47073,2443
362,20210129,20210210,20210205,26293,SO47074,2049
360,20210129,20210210,20210205,12685,SO47075,2049
362,20210129,20210210,20210205,12588,SO47076,2049
369,20210130,20210211,20210206,16329,SO47077,2443
375,20210130,20210211,20210206,13248,SO47078,2182
375,20210130,20210211,20210206,13359,SO47079,2182
360,20210130,20210211,20210206,26302,SO47080,2049
341,20210130,20210211,20210206,15203,SO47081,783
323,20210130,20210211,20210206,15254,SO47082,783
329,20210130,20210211,20210206,15288,SO47083,783
370,20210130,20210211,20210206,21561,SO47084,2443
379,20210131,20210212,20210207,16311,SO47085,2182
373,20210131,20210212,20210207,13378,SO47086,2182
377,20210131,20210212,20210207,13383,SO47087,2182
369,20210131,20210212,20210207,13274,SO47088,2443
341,20210131,20210212,20210207,15284,SO47089,783
377,20210131,20210212,20210207,21394,SO47090,2182
